measurement,nominal,high_limit,low_limit,status,units,name,type
9.25442e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.59755e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00408e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00577e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.94625e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.90617e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.92976e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00721e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.90324e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.92025e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.99018e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.935e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.91494e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.95869e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.97015e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00976e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.95757e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.9072e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00788e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.96713e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.99591e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00632e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.0047e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00187e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.99678e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.91661e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00907e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.93318e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.97161e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.90723e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.90208e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.97986e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00869e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00445e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.94882e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.0039e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.94464e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.94625e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00016e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.92416e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00146e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00544e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.90189e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00505e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00619e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.93319e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00038e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.915e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00777e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.93885e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.95825e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.95035e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.91562e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.95143e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00049e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.95332e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00009e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.93498e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.95975e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00157e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.98636e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
1.00008e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
9.92789e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c316,CAPACITOR
