measurement,nominal,high_limit,low_limit,status,units,name,type
3.52375,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.22324,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.28161,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.33999,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31113,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30696,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31527,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31407,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.32303,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.2979,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.25377,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.34962,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.28302,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.26914,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31863,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.28179,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.29454,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.29346,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31939,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31174,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.2797,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.29512,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.33007,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.25049,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.2881,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.33373,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.32319,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.34437,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30594,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30042,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.26423,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.2523,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.28354,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.28055,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.2892,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31311,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.32355,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30845,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.33539,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.32842,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31686,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.29563,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.29742,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30475,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30179,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.28144,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.33869,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.31051,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.29587,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.34496,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30426,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.29812,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.28232,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.29919,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.28337,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.3078,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.34724,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30822,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.32881,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.30385,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.26017,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.33376,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
3.32593,3.3,3.8,2.8,0,,1%q2201%funa%OFF,MEASUREMENT
