measurement,nominal,high_limit,low_limit,status,units,name,type
0.0665626,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.166027,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.184491,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0246991,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.133883,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0158431,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.113434,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0771445,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.164732,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.175671,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.1479,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0614754,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.159161,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.042964,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.00826286,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.16211,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.138141,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0673032,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.156867,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.134087,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.107602,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.154053,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.14659,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.134203,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0081427,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0275035,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.118079,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.000729759,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0884855,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.178422,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.198754,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.127051,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0373615,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0135424,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0173684,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.187997,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.00687211,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.020536,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0754461,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.152794,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.199353,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.194665,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.00679735,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.00251346,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0968347,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0111949,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.119176,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0727769,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.00742234,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.145807,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0229132,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0815574,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0181787,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.170742,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.128985,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.147135,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0460429,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0297654,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0846745,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.131385,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.193048,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.139017,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
0.0992514,0.0,0.5,-0.5,0,,1%q2201%funa%ON,MEASUREMENT
